,Product,Price,Ratings,No of Reviews
1,SAMSUNG GT-E1215ZKAINS,"₹1,749","64,582"," 5,432"
2,SAMSUNG GURU MUSIC 2,"₹2,099","4,099", 319
3,SAMSUNG Guru Music 2 SM-B315E,"₹2,099","10,107", 697
4,SAMSUNG Guru 1200,"₹1,999","7,925", 545
5,SAMSUNG Guru Music 2,"₹2,199","2,570", 166
6,SAMSUNG Guru Music 2,"₹2,360","2,05,988"," 18,852"
7,SAMSUNG Guru Music 2,"₹2,399","2,131", 209
8,SAMSUNG GURU 1200,"₹1,613","1,568", 105
9,SAMSUNG Guru Music 2,"₹2,098","2,05,988"," 18,852"
10,SAMSUNG Guru Music 2,"₹1,850","2,05,988"," 18,852"
11,SAMSUNG Guru Music 2,"₹2,048","2,05,988"," 18,852"
12,SAMSUNG Guru Music 2,"₹1,850","2,05,988"," 18,852"
13,SAMSUNG Guru Music 2,"₹1,949","2,05,988"," 18,852"
14,SAMSUNG Guru Music 2,"₹1,850","2,05,988"," 18,852"
15,SAMSUNG GURU GT,"₹1,599","3,685", 234
16,SAMSUNG GURU GT,"₹1,598",942, 67
17,"SAMSUNG Z2 (Gold, 8 GB)","₹4,790","12,974"," 1,938"
18,SAMSUNG GT-E1215,"₹1,299","54,646"," 4,548"
19,SAMSUNG Guru FM Plus,"₹1,573","27,970"," 2,369"
20,SAMSUNG Guru FM Plus SM-B110E/D,"₹1,599","63,106"," 6,133"
21,SAMSUNG Metro 313 Dual Sim,"₹2,340","15,016"," 1,489"
22,SAMSUNG GT-E1215ZWAINS,"₹1,299","34,105"," 2,928"
23,SAMSUNG GT-E1215ZDAINS,"₹1,299","35,367"," 2,899"
24,SAMSUNG Metro 313,"₹2,299","2,628", 230
